dict_page	headword	class	unit_recorded_prefix	source_locator
002	ambuyamuderere	None	va-	hannan:page_002:entry_012:ambuyamuderere
002	ambuyawasha	None	va-	hannan:page_002:entry_013:ambuyawasha
012	berere	None	mab-	hannan:page_012:entry_021:berere
014	bhamadza	5	map-	hannan:page_014:entry_010:bhamadza
015	bhebhi	9	vanabh-	hannan:page_015:entry_038:bhebhi
017	bhiridha	1a	mabh-	hannan:page_017:entry_025:bhiridha
020	biko	5	mah-	hannan:page_020:entry_039:biko
028	budiriro	9	mab-	hannan:page_028:entry_003:budiriro
039	bvukanya	9	mabv-	hannan:page_039:entry_026:bvukanya
046	bwiraufu	9	mabw-	hannan:page_046:entry_028:bwiraufu
062	chidharara	1a	madh-	hannan:page_062:entry_019:chidharara
086	chipfupinebhero	7	vanachi-	hannan:page_086:entry_025:chipfupinebhero
129	dimba	5	madh-	hannan:page_129:entry_026:dimba
129	dimbwa	5	madh-	hannan:page_129:entry_043:dimbwa
130	dindi	5	madh-	hannan:page_130:entry_004:dindi
130	dinhira	5	madh-	hannan:page_130:entry_039:dinhira
131	diramhambo	5	madh-	hannan:page_131:entry_017:diramhambo
131	diutiu	5	madh-	hannan:page_131:entry_037:diutiu
132	dochamutocha	5	madh-	hannan:page_132:entry_034:dochamutocha
133	dohwe	5	madh-	hannan:page_133:entry_020:dohwe
139	dungumusuva	1a	mad-	hannan:page_139:entry_031:dungumusuva
143	dywatywani	5	matyw-	hannan:page_143:entry_033:dywatywani
143	dywatywati	5	matyw-	hannan:page_143:entry_034:dywatywati
157	dzwatswati	5	matsw-	hannan:page_157:entry_028:dzwatswati
162	fata	1a	ma-	hannan:page_162:entry_027:fata
185	garanchakata	1a	mag-	hannan:page_185:entry_007:garanchakata
198	guhwe	1a	mak-	hannan:page_198:entry_004:guhwe
206	gwa	5	mag-	hannan:page_206:entry_012:gwa
239	ibu	5	mab-	hannan:page_239:entry_014:ibu
239	ibvi	5	mabv-	hannan:page_239:entry_016:ibvi
239	ibvu	5	mabv-	hannan:page_239:entry_017:ibvu
239	ibwe	5	mabw-	hannan:page_239:entry_018:ibwe
239	ido	5	mad-	hannan:page_239:entry_033:ido
239	idya	5	mady-	hannan:page_239:entry_035:idya
240	idzvi	5	madzv-	hannan:page_240:entry_010:idzvi
240	iga	5	mag-	hannan:page_240:entry_013:iga
240	igo	5	mag-	hannan:page_240:entry_015:igo
240	igwa	5	magw-	hannan:page_240:entry_016:igwa
249	tjende	5	mach-	hannan:page_249:entry_015:tjende
318	maiguru	1a	madzim-	hannan:page_318:entry_038:maiguru
318	mainini	1a	madzim-	hannan:page_318:entry_040:mainini
318	maivemba	1a	madzim-	hannan:page_318:entry_047:maivemba
321	mambo	1a	madzim-	hannan:page_321:entry_011:mambo
322	manga	5	vam-	hannan:page_322:entry_051:manga
336	mbamba	9	mamb-	hannan:page_336:entry_062:mbamba
372	mudzimu	1	midz-	hannan:page_372:entry_011:mudzimu
390	muNguru	1	maNg-	hannan:page_390:entry_002:munguru
429	mvurayejuro	1	vamv-	hannan:page_429:entry_005:mvurayejuro
431	mwauru	1	vamw-	hannan:page_431:entry_014:mwauru
443	ndunda	9	mandu-	hannan:page_443:entry_049:ndunda
463	nhendashure	9	manh- (more commonly used)	hannan:page_463:entry_055:nhendashure
467	nhonje	9	manho-	hannan:page_467:entry_018:nhonje
477	nyahosi	9	manya-	hannan:page_477:entry_037:nyahosi
487	nyenyenye	9	manye-	hannan:page_487:entry_040:nyenyenye
492	nyongo	9	manyo-	hannan:page_492:entry_043:nyongo
492	nyongoviro	9	manyo-	hannan:page_492:entry_058:nyongoviro
570	rudzingi	11	udz-	hannan:page_570:entry_048:rudzingi
571	rufaro	11	mif-	hannan:page_571:entry_016:rufaro
571	rufu	11	nzu-	hannan:page_571:entry_033:rufu
572	rugombe	11	ug-	hannan:page_572:entry_008:rugombe
573	rukambe	11	uk-	hannan:page_573:entry_011:rukambe
573	rukodzi	1a	mak-	hannan:page_573:entry_038:rukodzi
573	rukorodzi	11	tuk-	hannan:page_573:entry_056:rukorodzi
574	rukoronga	11	tuk-	hannan:page_574:entry_001:rukoronga
575	rukwegurubande	11	vakwe-	hannan:page_575:entry_019:rukwegurubande
575	rumbabvu	11	mba-	hannan:page_575:entry_039:rumbabvu
577	run'an'a	11	un'a-	hannan:page_577:entry_031:run-an-a
578	runyanga rwepfene	11	nyanga dzepfene	hannan:page_578:entry_029:runyanga-rwepfene
579	rupan'era	11	up-	hannan:page_579:entry_033:rupan-era
0584	rutsatsanhi	11	uts-	hannan:page_0584:entry_049:rutsatsanhi
0587	ruzevha	11	mar-	hannan:page_0587:entry_025:ruzevha
594	saruraude	9	mas-	hannan:page_594:entry_003:saruraude
595	sekuru	1a	madzi-	hannan:page_595:entry_036:sekuru
598	setswa	9	mas-	hannan:page_598:entry_029:setswa
603	she	1a	madzi-	hannan:page_603:entry_005:she
626	svumburumbu	9	masv-	hannan:page_626:entry_030:svumburumbu
637	tateguru	1a	madzi-	hannan:page_637:entry_017:tateguru
683	tswetswe	9	vamutsw-	hannan:page_683:entry_034:tswetswe
716	vanabudibudi	2a	vavana-	hannan:page_716:entry_006:vanabudibudi
718	vembe	5	mar-	hannan:page_718:entry_012:vembe
997	bhibhere	5	madh-	hannan:page_997:entry_016:bhibhere
1003	indasitiri	9	ma-	hannan:page_1003:entry_008:indasitiri
1011	rweze	1	marw-	hannan:page_1011:entry_025:rweze
